                    id   redshift                galex.NUV  galex.NUV_err          cfht.megacam.u      cfht.megacam.u_err        subaru.suprime.B    subaru.suprime.B_err        subaru.suprime.V    subaru.suprime.V_err        subaru.suprime.r    subaru.suprime.r_err        subaru.suprime.i    subaru.suprime.i_err       subaru.suprime.z    subaru.suprime.z_err            subaru.hsc.y        subaru.hsc.y_err             UKIRT_WFCJ          UKIRT_WFCJ_err          cfht.wircam.H       cfht.wircam.H_err                WFCAM_K             WFCAM_K_err                  IRAC1      IRAC1_err                  IRAC2      IRAC2_err                   IRAC3      IRAC3_err                    IRAC4     IRAC4_err         spitzer.mips.24  spitzer.mips.24_err     herschel.pacs.100  herschel.pacs.100_err     herschel.pacs.160  herschel.pacs.160_err  herschel.spire.PSW  herschel.spire.PSW_err   herschel.spire.PMW  herschel.spire.PMW_err     herschel.spire.PLW  herschel.spire.PLW_err 
 FMOS_J095842.7+015513   1.633728    3.115429195965352e-05  7.0372334e-05  0.00043762307889489186   7.805876187201555e-05   0.0007103457678928415   7.682630668134189e-05   0.0009225714468189536   9.034132994553939e-05   0.0008251213968995504   9.294964343598156e-05   0.0012597372855922052  0.00013383641997370918  0.0015290007161383242  0.00019686581105325907    0.002273209257869719   0.0003491871940088666  0.0053359894557960036   0.0006176183520783454   0.004888149759885751   0.0007438564163658776   0.008059786587528393   0.0008422598443309043    0.01520263333509132   0.0014520437   0.018348240567964354    0.001866833     0.03655197243357398    0.003494271      0.06979413968152384   0.008713421     0.17979918536668793          0.071386404    3.6273582917694407      1.496777576753597     1.260801509006192      4.699321735952822   5.317061780171959               1.1794263    4.909196110449734                1.251276     1.0150557845539971                1.139408 
 FMOS_J095943.0+015412  1.5498204    4.310370862132298e-05   6.865375e-05   0.0006953206674535184   9.804609811474334e-05   0.0009132715370495242   0.0001100861054564926   0.0012387728668309859  0.00011850293414371503   0.0013792876020475965  0.00013152358324025853   0.0015482072696407147  0.00017871388848470353  0.0021328411038085255    0.000228569751591738    0.002652009158310409   0.0003962284957243396  0.0041581696663581845   0.0004940648445025639  0.0059538745787396305   0.0007069977940327714    0.00659067504733668   0.0007667972973253613    0.00852192996089287  0.00091942976   0.008128040461065736   0.0010285996    0.009933038903510908   0.0023681324     0.004027713719217714  0.0015137948    0.033635047676878665          0.008058117    2.0190257172690798      1.240941701701303    -0.437834962753175      5.309247646481819                 nan                     nan                  nan                     nan                    nan                     nan 
 FMOS_J095928.6+015613  1.4799814   0.00021405069002462844  4.6319135e-05    0.001458775791661899   0.0001747576501772493    0.001914465249432528  0.00019139560980157853   0.0021155656049182915  0.00021059170303644405   0.0022381194165659512  0.00023101094491925295   0.0027995079729232287   0.0002675358823523612  0.0031522674408675485  0.00036171962838710796   0.0036216436537601917   0.0005488886832237112   0.004587112605021938   0.0006007059550992896   0.006445805995519409   0.0006751240075395489   0.007277348916331372   0.0006239679685064272  0.0075737352395538506  0.00072904705   0.008637901859287216   0.0007652081    0.005727545395146039    0.002266446     0.007740411725433357  0.0019048443     0.02980950634225936          0.006131238    0.0418320563487482      1.126629868782464      4.82515002812803      2.088616100421554                 nan                     nan                  nan                     nan                    nan                     nan 
 FMOS_J095908.9+020305  1.4532491    0.0005331034340485217   8.102197e-05   0.0022556380170492096  0.00025067793029741184    0.002725032181358819  0.00026780902623877036    0.002811479424519081   0.0002719511633363879   0.0034876701852172114  0.00030263318610905743   0.0035853262017443263  0.00035750439258660827   0.004091935958676356   0.0005006176910774997     0.00618436299577634   0.0006788237231211021   0.007514476836662708   0.0007946112390670931   0.008066515281378871   0.0009728267214261748   0.009985986287334965   0.0009354970790918433    0.01113777177749805   0.0010973694   0.009710926273397869   0.0011515742    0.009912760157465403   0.0036896565     0.006491368107597474   0.003578543     0.02475954885925076         0.0059866197   -0.7355235112207293     1.2964427397065756    3.6277232358273905      5.306318170882428                 nan                     nan                  nan                     nan                    nan                     nan 
 FMOS_J095924.1+021236  1.5872226   0.00036428540850110013   7.860764e-05   0.0021008864476097975  0.00020252243486267824   0.0020081879268663474    0.000225479452211259   0.0023676524433624605  0.00024576570054895327    0.002697810319144456  0.00026613507971482656   0.0029988527679893815   0.0003081947535914173   0.003073823011475377  0.00038120413166093964    0.004017842944262215   0.0005846744371174598   0.004968020110090008    0.000664155431210573   0.005477113451966015   0.0006979499482522652   0.006013540724987318   0.0006465343926205512    0.00710651668562468  0.00066424353   0.009381221198325896  0.00075422286     0.01013215206813468   0.0026082227    0.0016957611495607332  0.0033101381    0.020336018668103722         0.0046659745   0.06789028973234679     0.8920086378529601   -2.1916116697480006     3.1968051603349883                 nan                     nan                  nan                     nan                    nan                     nan 
 FMOS_J095854.4+015011  1.4451927    0.0001821127495594132  7.8358855e-05   0.0015206772951881905   0.0001751593735509543   0.0019193111026148733  0.00020335517850153897   0.0028799979607303395  0.00023966566562609362   0.0030826692762852344   0.0002960827444397077    0.003921095426770329   0.0004226455435766375   0.005386213354461279   0.0006296595028244013    0.008504588113499885   0.0008908202159210735    0.01102060662050852   0.0010950240805331895   0.011834084481181766   0.0016197151959236914   0.020759509787745104   0.0017692405641717246    0.02220798765074978   0.0024420556    0.02328197541704426   0.0026453102     0.02157855195469361   0.0022401353      0.01366261420844846  0.0034723412     0.13611575662458347          0.016578745    2.4567264598532716      1.284351450107784     5.483193798138056     3.9873357274461787  10.824748206828412               1.6375935    9.777855126955453               1.7015979      8.339187848400536               3.3499444 
 FMOS_J095857.1+015218  1.5659702    6.248283055840446e-05   6.053061e-05   0.0008467775676542236   9.231440509634279e-05   0.0006332899893601847  0.00011410282875370542   0.0012302982777109533  0.00012553955131649336   0.0010916021932098332   0.0001534476281051037   0.0017282481036497786  0.00020930681893277498  0.0023046551193866213  0.00029571916821557494   0.0032326035009292097   0.0004583253413117114   0.005959182099576138   0.0005681106933368243  0.0072218594046589615   0.0008032962674873796   0.008877329424400403   0.0008330584891144472   0.011388895736160972   0.0011144005   0.012171964590589751   0.0012806719     0.00857706933394772   0.0023324294     0.007322188794179762   0.003869495    0.058045538334831046          0.012196082   0.28872077534369645     0.2617123113932051     7.534339809659385        4.1041545341106   2.875868969080952               1.1158924   2.9943992988591446               1.3400829     1.2394155512845166               1.8429997 
 FMOS_J095949.0+015033  1.6506904    7.120231102473491e-05  6.1230916e-05   0.0007182055154423956   7.780616705268347e-05   0.0007804478970297625   9.292777843247488e-05   0.0012033324338127705  0.00010112663189526548   0.0010601851479252952  0.00011840097916870123   0.0015683459546070551  0.00016390660152810452   0.002219167331829627   0.0002143919073775441     0.00258902218399304  0.00041841959117736916   0.005118066101136177   0.0005621930255678514   0.006153737748525439   0.0007282856992294432   0.006220722659353474    0.000755519314538591   0.008072239523010939   0.0009885185    0.01142020711220184   0.0011227204   0.0074830503842979856   0.0015894757     0.008466222863128462  0.0019393552     0.06164981880354599          0.009013069    3.5379085822026175      1.794906092120348   0.13241921121049982      3.399942197757963                 nan                     nan                  nan                     nan                    nan                     nan 
 FMOS_J100028.3+015514  1.5241252   0.00012770470740585226  7.2226474e-05    0.001316863061302346   0.0001333406207959281   0.0017616187689400526   0.0001542612603862453    0.001956677684339707   0.0001722291875768741    0.002051070485825671  0.00018903686225796082   0.0018596180046883332  0.00022839825694196628  0.0025528801354761225  0.00030345206102273597    0.003710044540367338   0.0004822043897641413   0.004788016236903981   0.0005226570849520248   0.004807468319800505   0.0006826934216635859   0.006120356057354908   0.0006484316534542357   0.007139159876142558  0.00085084344  0.0061428010761575245   0.0008883796    0.005918987582529305   0.0027994595    0.0018907389235940956  0.0026257206     0.04528266778044548         0.0063214684    0.5596779451474524     1.0794157414601335  -0.27607210695266726      4.676190349467421                 nan                     nan                  nan                     nan                    nan                     nan 
 FMOS_J095854.3+020233  1.5312631    0.0003297018576567363  5.2717445e-05   0.0017418129040722063  0.00020526318854463102   0.0018791899941113352  0.00021612595314653943   0.0022501061782910312  0.00022607089773933083    0.002145351702836815   0.0002404055689606636    0.002523435113083155   0.0002672864877297675  0.0030799265146593336  0.00030945110177231993    0.003791197672445281   0.0005537893583331294   0.005508422563261114   0.0005353246142836165    0.00452141769952361    0.000662115748140541  0.0065002424674141445   0.0005472161401182521   0.006802881019737969  0.00075520086  0.0073767129850685065   0.0007129022     0.00873228816877378    0.003038025   0.00044745847519366824  0.0033172811     0.02474129300351696         0.0059602046    1.2669654287458358     0.7647739584611143    1.5687361376956688      3.145368253179746                 nan                     nan                  nan                     nan                    nan                     nan 
